"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2015","154.01","154.99","155.25","153.32","679.26K","-0.39%"
"Oct 20, 2015","154.03","154.74","155.60","152.30","924.52K","0.01%"
"Oct 21, 2015","153.04","154.20","155.01","151.40","925.33K","-0.64%"
"Oct 23, 2015","154.06","154.80","155.94","152.80","723.65K","0.67%"
"Oct 26, 2015","149.25","154.99","155.00","148.76","1.18M","-3.12%"
"Oct 27, 2015","150.23","149.00","151.18","148.44","1.01M","0.66%"
"Oct 28, 2015","145.86","148.62","149.60","143.81","1.31M","-2.91%"
"Oct 29, 2015","148.70","146.20","149.48","141.73","6.29M","1.95%"
"Oct 30, 2015","151.82","150.00","153.00","149.40","1.91M","2.10%"
"Nov 02, 2015","154.09","151.73","154.50","150.50","1.41M","1.50%"
"Nov 03, 2015","155.82","154.44","156.20","153.30","1.18M","1.12%"
"Nov 04, 2015","156.64","156.64","157.96","156.23","754.37K","0.53%"
"Nov 05, 2015","152.27","156.30","156.30","151.80","1.26M","-2.79%"
"Nov 06, 2015","151.69","152.68","154.72","150.08","1.41M","-0.38%"
"Nov 09, 2015","152.47","149.00","153.61","147.12","1.40M","0.51%"
"Nov 10, 2015","147.92","152.00","153.36","147.41","1.56M","-2.98%"
"Nov 11, 2015","151.34","150.00","151.86","150.00","371.08K","2.31%"
"Nov 13, 2015","147.49","151.04","151.50","146.69","1.71M","-2.54%"
"Nov 16, 2015","150.17","148.00","150.59","147.26","1.39M","1.82%"
"Nov 17, 2015","149.04","151.22","151.40","147.37","885.82K","-0.75%"
"Nov 18, 2015","144.61","149.00","150.00","144.03","1.29M","-2.97%"
"Nov 19, 2015","146.63","145.80","146.94","144.81","1.04M","1.40%"
"Nov 20, 2015","146.34","147.00","148.29","145.04","1.39M","-0.20%"
"Nov 23, 2015","147.99","146.64","148.80","146.56","1.04M","1.13%"
"Nov 24, 2015","148.85","147.82","149.60","147.60","1.41M","0.58%"
"Nov 26, 2015","149.91","149.05","150.72","149.05","544.04K","0.71%"
"Nov 27, 2015","152.38","149.60","153.70","149.60","1.17M","1.65%"
"Nov 30, 2015","153.30","152.50","154.14","152.50","572.83K","0.60%"
"Dec 01, 2015","152.01","153.00","154.52","151.51","727.05K","-0.84%"
"Dec 02, 2015","149.91","152.64","153.00","149.42","705.16K","-1.38%"
"Dec 03, 2015","150.14","149.40","151.73","149.04","996.42K","0.15%"
"Dec 04, 2015","147.88","149.01","150.20","147.60","975.01K","-1.51%"
"Dec 07, 2015","147.01","148.52","149.20","146.50","619.06K","-0.59%"
"Dec 08, 2015","145.13","146.78","147.11","144.80","817.56K","-1.28%"
"Dec 09, 2015","143.24","145.40","147.00","142.62","1.51M","-1.30%"
"Dec 10, 2015","141.39","144.00","144.47","140.44","2.00M","-1.29%"
"Dec 11, 2015","136.15","142.20","142.73","134.50","3.61M","-3.71%"
"Dec 14, 2015","136.44","136.00","137.72","133.71","2.22M","0.21%"
"Dec 15, 2015","138.11","137.20","138.90","135.20","1.93M","1.22%"
"Dec 16, 2015","139.66","139.26","142.15","138.81","1.84M","1.12%"
"Dec 17, 2015","144.11","141.00","144.80","141.00","1.63M","3.19%"
"Dec 18, 2015","143.81","144.00","145.50","142.75","999.86K","-0.21%"
"Dec 21, 2015","144.00","143.99","145.30","143.20","818.65K","0.13%"
"Dec 22, 2015","142.72","144.30","145.66","142.40","1.02M","-0.89%"
"Dec 23, 2015","145.00","144.00","145.40","143.70","876.85K","1.60%"
"Dec 24, 2015","145.07","145.30","145.86","144.02","496.65K","0.05%"
"Dec 28, 2015","146.32","145.23","147.06","145.00","577.01K","0.86%"
"Dec 29, 2015","146.40","146.60","147.20","145.60","785.25K","0.05%"
"Dec 30, 2015","146.72","146.40","147.31","146.20","445.69K","0.22%"
"Dec 31, 2015","145.23","146.45","147.30","144.80","632.97K","-1.02%"
"Jan 01, 2016","146.46","145.00","147.09","144.61","622.83K","0.85%"
"Jan 04, 2016","141.06","146.51","146.51","140.20","2.08M","-3.69%"
"Jan 05, 2016","141.62","141.79","142.60","139.71","1.27M","0.40%"
"Jan 06, 2016","140.64","142.99","143.31","140.27","1.00M","-0.69%"
"Jan 07, 2016","135.63","138.80","138.80","135.11","2.39M","-3.56%"
"Jan 08, 2016","138.75","137.60","139.84","136.60","1.16M","2.30%"
"Jan 11, 2016","138.92","138.00","141.00","135.27","1.42M","0.12%"
"Jan 12, 2016","134.63","139.79","139.90","133.85","1.54M","-3.09%"
"Jan 13, 2016","136.54","136.20","137.95","132.19","2.04M","1.42%"
"Jan 14, 2016","134.52","135.54","135.55","132.42","1.58M","-1.48%"
"Jan 15, 2016","132.55","136.40","136.65","131.92","1.28M","-1.46%"
"Jan 18, 2016","131.18","132.59","134.05","130.40","1.33M","-1.03%"
"Jan 19, 2016","136.20","131.70","137.28","131.50","1.58M","3.83%"
"Jan 20, 2016","128.93","135.40","135.40","126.45","2.28M","-5.34%"
"Jan 21, 2016","130.79","131.40","134.50","129.44","1.70M","1.44%"
"Jan 22, 2016","136.71","132.64","137.80","132.40","1.74M","4.53%"
"Jan 25, 2016","135.40","140.00","140.00","134.80","878.71K","-0.96%"
"Jan 27, 2016","135.45","135.80","136.80","133.05","940.71K","0.04%"
"Jan 28, 2016","134.71","136.00","137.20","133.80","927.47K","-0.55%"
"Jan 29, 2016","149.38","133.25","149.90","130.25","9.89M","10.89%"
"Feb 01, 2016","154.47","150.40","155.26","148.92","5.76M","3.41%"
"Feb 02, 2016","153.06","154.25","157.00","152.32","3.51M","-0.91%"
"Feb 03, 2016","155.68","150.44","157.65","150.05","2.69M","1.71%"
"Feb 04, 2016","151.98","156.80","157.60","150.84","3.14M","-2.38%"
"Feb 05, 2016","155.47","151.96","155.94","151.86","2.10M","2.30%"
"Feb 08, 2016","153.55","155.40","157.85","152.84","1.76M","-1.23%"
"Feb 09, 2016","149.51","151.05","153.70","148.40","1.89M","-2.63%"
"Feb 10, 2016","146.85","148.41","149.30","145.61","4.66M","-1.78%"
"Feb 11, 2016","142.72","146.27","147.95","142.00","1.85M","-2.81%"
"Feb 12, 2016","145.34","143.30","146.39","138.41","2.20M","1.84%"
"Feb 15, 2016","150.33","147.00","152.18","147.00","1.28M","3.43%"
"Feb 16, 2016","146.61","151.05","151.92","145.29","1.17M","-2.47%"
"Feb 17, 2016","144.17","146.80","147.00","140.20","2.39M","-1.66%"
"Feb 18, 2016","143.00","145.98","147.18","141.41","1.89M","-0.81%"
"Feb 19, 2016","142.80","142.43","144.78","141.72","1.32M","-0.14%"
"Feb 22, 2016","142.53","144.20","144.20","141.85","884.12K","-0.19%"
"Feb 23, 2016","137.15","142.60","143.33","136.38","1.76M","-3.77%"
"Feb 24, 2016","137.90","136.80","140.62","134.40","2.22M","0.55%"
"Feb 25, 2016","134.29","138.40","138.86","133.64","2.27M","-2.62%"
"Feb 26, 2016","137.19","136.50","138.30","133.82","1.77M","2.16%"
"Feb 29, 2016","137.67","138.00","140.82","132.74","3.57M","0.35%"
"Mar 01, 2016","143.70","138.80","144.20","138.35","2.10M","4.38%"
"Mar 02, 2016","150.85","145.40","152.20","145.40","1.76M","4.98%"
"Mar 03, 2016","151.44","151.64","152.00","148.26","1.62M","0.39%"
"Mar 04, 2016","151.87","151.65","153.87","149.05","1.77M","0.28%"
"Mar 08, 2016","152.08","153.40","154.00","150.47","2.07M","0.14%"
"Mar 09, 2016","157.88","150.26","158.70","150.26","3.05M","3.81%"
"Mar 10, 2016","158.48","157.60","160.14","156.78","2.21M","0.38%"
"Mar 11, 2016","159.90","157.65","160.91","157.00","2.13M","0.90%"
"Mar 14, 2016","160.53","160.40","162.00","159.40","1.56M","0.39%"
"Mar 15, 2016","162.23","160.85","163.36","159.63","1.73M","1.06%"
"Mar 16, 2016","160.88","161.98","163.10","159.02","1.53M","-0.83%"
"Mar 17, 2016","159.86","162.37","163.80","158.47","1.24M","-0.63%"
"Mar 18, 2016","162.84","160.60","163.85","159.18","1.39M","1.86%"
"Mar 21, 2016","166.31","163.44","166.89","162.60","1.52M","2.13%"
"Mar 22, 2016","166.83","166.39","167.40","164.58","1.56M","0.31%"
"Mar 23, 2016","169.60","166.00","170.20","165.22","1.49M","1.66%"
"Mar 28, 2016","168.47","169.36","171.84","167.17","1.77M","-0.67%"
"Mar 29, 2016","169.33","168.03","170.85","167.45","963.26K","0.51%"
"Mar 30, 2016","173.18","170.00","174.00","169.71","1.11M","2.27%"
"Mar 31, 2016","172.91","172.20","175.12","171.77","1.73M","-0.16%"
"Apr 01, 2016","171.14","172.02","173.00","170.45","1.43M","-1.02%"
"Apr 04, 2016","173.57","171.00","174.00","171.00","1.03M","1.42%"
"Apr 05, 2016","165.89","171.62","173.00","165.33","2.36M","-4.42%"
"Apr 06, 2016","167.00","167.40","168.45","165.70","1.55M","0.67%"
"Apr 07, 2016","167.05","167.60","168.98","166.21","929.09K","0.03%"
"Apr 08, 2016","169.96","166.00","170.79","166.00","1.04M","1.74%"
"Apr 11, 2016","171.92","170.20","172.50","169.60","5.10M","1.15%"
"Apr 12, 2016","171.89","171.40","173.75","170.81","745.71K","-0.02%"
"Apr 13, 2016","173.90","173.20","175.00","173.20","722.19K","1.17%"
"Apr 18, 2016","178.67","173.00","179.30","172.20","1.35M","2.74%"
"Apr 20, 2016","176.35","178.60","179.06","175.72","1.03M","-1.30%"
"Apr 21, 2016","176.38","178.00","179.56","175.60","1.03M","0.02%"
"Apr 22, 2016","175.16","176.42","177.58","174.60","990.49K","-0.69%"
"Apr 25, 2016","175.70","175.14","177.07","174.29","859.13K","0.31%"
"Apr 26, 2016","182.11","176.00","182.80","175.11","1.79M","3.65%"
"Apr 27, 2016","183.12","183.00","184.78","179.52","5.10M","0.55%"
"Apr 28, 2016","188.99","183.50","190.28","183.00","6.44M","3.21%"
"Apr 29, 2016","188.73","189.66","190.44","185.90","2.34M","-0.14%"
"May 02, 2016","189.05","189.80","191.60","188.42","1.87M","0.17%"
"May 03, 2016","186.40","189.38","190.24","185.70","1.04M","-1.40%"
"May 04, 2016","183.54","186.74","187.80","182.90","1.48M","-1.53%"
"May 05, 2016","182.46","183.65","186.60","181.33","1.96M","-0.59%"
"May 06, 2016","182.01","182.20","183.92","181.28","1.14M","-0.25%"
"May 09, 2016","189.18","182.20","189.68","182.20","2.00M","3.94%"
"May 10, 2016","189.96","189.50","190.57","187.82","1.35M","0.41%"
"May 11, 2016","191.25","187.56","192.40","186.30","2.02M","0.68%"
"May 12, 2016","190.96","191.08","193.39","190.04","1.34M","-0.15%"
"May 13, 2016","189.82","191.01","192.07","188.77","985.74K","-0.60%"
"May 16, 2016","195.87","191.00","197.00","189.11","1.83M","3.19%"
"May 17, 2016","194.07","197.40","200.00","193.60","2.39M","-0.92%"
"May 18, 2016","194.22","193.60","195.54","192.61","1.42M","0.08%"
"May 19, 2016","193.37","194.22","197.44","192.83","856.14K","-0.44%"
"May 20, 2016","195.50","194.06","196.19","192.90","979.94K","1.10%"
"May 23, 2016","195.33","196.22","196.88","194.23","795.31K","-0.09%"
"May 24, 2016","195.38","195.00","197.00","194.22","896.75K","0.03%"
"May 25, 2016","199.24","197.00","199.60","196.88","1.26M","1.98%"
"May 26, 2016","203.69","199.20","205.08","199.20","1.65M","2.23%"
"May 27, 2016","205.34","204.40","208.00","203.64","1.61M","0.81%"
"May 30, 2016","205.10","205.40","207.00","204.50","979.75K","-0.12%"
"May 31, 2016","206.39","204.80","209.00","204.22","1.01M","0.63%"
"Jun 01, 2016","203.43","206.40","206.59","201.14","862.86K","-1.43%"
"Jun 02, 2016","209.73","203.40","210.40","202.26","1.32M","3.10%"
"Jun 03, 2016","209.85","210.45","211.94","208.46","854.00K","0.06%"
"Jun 06, 2016","212.53","210.90","213.73","208.97","1.01M","1.28%"
"Jun 07, 2016","213.26","213.73","217.00","212.48","1.71M","0.34%"
"Jun 08, 2016","210.62","213.00","213.20","209.03","1.01M","-1.24%"
"Jun 09, 2016","208.06","210.22","211.90","207.35","830.79K","-1.22%"
"Jun 10, 2016","212.45","207.20","213.70","207.20","1.88M","2.11%"
"Jun 13, 2016","212.90","211.98","214.40","210.60","1.39M","0.21%"
"Jun 14, 2016","213.09","212.25","214.24","211.62","517.86K","0.09%"
"Jun 15, 2016","214.13","214.20","214.60","211.50","2.84M","0.49%"
"Jun 16, 2016","212.09","212.60","213.40","209.58","777.56K","-0.95%"
